,Carbonato_sodio [%],Caliza [%],Silica_arena [%],Densidad [g/cm3]
0,14,8,61,2568
1,13,5,68,2444
2,16,11,66,2474
3,17,5,69,2567
4,16,10,68,2567
5,16,10,69,2549
6,16,7,62,2530
7,13,5,63,2558
8,15,9,62,2572
9,16,7,64,2507
10,14,7,62,2592
11,17,10,62,2525
12,17,6,61,2560
13,17,8,69,2402
14,15,8,64,2552
15,15,11,63,2483
16,16,8,66,2410
17,15,10,63,2524
18,15,6,63,2482
19,12,6,67,2543
20,16,11,63,2525
21,14,6,65,2405
22,13,6,60,2520
23,15,10,68,2492
24,17,10,66,2513
25,16,8,62,2511
26,13,6,63,2481
27,15,6,66,2546
28,17,5,60,2523
29,12,9,64,2532
30,16,9,64,2457
31,12,7,63,2542
32,17,11,68,2562
33,17,6,63,2521
34,15,8,65,2559
35,15,5,68,2504
36,13,8,65,2471
37,12,10,62,2520
38,13,10,61,2582
39,16,9,67,2441
40,14,11,68,2419
41,17,7,64,2419
42,14,7,60,2531
43,14,7,63,2408
44,12,6,66,2430
45,15,7,61,2474
46,14,9,66,2435
47,15,10,62,2483
48,16,6,60,2511
49,13,8,65,2416
50,12,5,66,2562
51,13,10,65,2598
52,14,5,62,2468
53,14,6,61,2444
54,13,11,65,2514
55,13,8,64,2544
56,16,10,68,2512
57,16,7,69,2562
58,13,5,69,2540
59,17,9,67,2591
60,12,7,67,2458
61,13,9,68,2412
62,13,10,68,2474
63,16,8,61,2488
64,16,6,68,2530
65,13,9,63,2470
66,15,11,69,2494
67,16,8,68,2485
68,13,8,68,2587
69,17,11,66,2463
70,13,8,61,2595
71,14,8,61,2508
72,15,8,68,2544
73,12,6,60,2483
74,13,11,62,2428
75,14,8,61,2566
76,12,5,63,2517
77,17,8,67,2574
78,12,5,64,2431
79,16,9,69,2405
80,17,11,65,2458
81,15,9,67,2573
82,12,11,68,2550
83,12,7,61,2410
84,12,10,60,2585
85,16,7,65,2405
86,13,5,60,2588
87,14,9,67,2419
88,13,5,67,2414
89,16,5,66,2417
90,16,10,62,2451
91,13,6,69,2499
92,16,6,69,2481
93,17,6,61,2595
94,16,7,65,2414
95,12,9,63,2431
96,12,11,61,2467
97,13,8,61,2419
98,14,7,67,2556
99,12,5,69,2525
100,17,8,65,2499
101,14,7,67,2473
102,17,8,61,2519
103,13,5,60,2553
104,12,11,66,2594
105,16,7,66,2422
106,12,6,65,2420
107,17,6,66,2478
108,17,10,66,2500
109,14,10,67,2496
110,13,9,62,2491
111,13,5,63,2424
112,12,6,69,2591
113,17,8,60,2562
114,13,8,64,2501
115,17,8,62,2411
116,17,11,61,2529
117,15,11,60,2500
118,12,11,61,2441
119,17,7,68,2563
120,15,8,61,2524
121,17,9,62,2477
122,12,6,64,2530
123,14,8,63,2467
124,15,7,67,2592
125,13,5,69,2551
126,15,6,61,2443
127,14,7,64,2427
128,14,5,60,2462
129,14,9,65,2540
130,17,10,66,2574
131,15,9,63,2529
132,14,7,68,2537
133,16,8,62,2433
134,16,10,68,2461
135,14,6,69,2598
136,17,6,65,2570
137,12,9,63,2532
138,14,10,69,2591
139,16,6,67,2422
140,14,8,69,2458
141,12,9,62,2528
142,13,5,64,2486
143,13,5,64,2596
144,16,10,65,2434
145,12,6,67,2491
146,17,8,62,2549
147,12,11,69,2517
148,15,8,68,2437
149,12,9,60,2499
150,17,9,65,2561
151,12,5,67,2430
152,12,5,60,2437
153,15,8,64,2589
154,16,11,60,2411
155,14,7,69,2573
156,16,7,68,2510
157,15,8,62,2434
158,14,7,60,2461
159,12,8,61,2472
160,13,10,62,2428
161,12,11,67,2578
162,12,9,68,2575
163,13,11,62,2458
164,14,10,65,2508
165,12,10,65,2592
166,17,9,62,2477
167,17,11,68,2595
168,15,11,60,2417
169,17,6,65,2555
170,17,5,65,2456
171,14,9,67,2449
172,16,9,67,2589
173,14,9,67,2408
174,12,11,65,2536
175,17,7,69,2489
176,17,6,63,2598
177,16,8,64,2422
178,13,7,60,2476
179,14,11,68,2565
180,17,9,68,2492
181,13,5,63,2522
182,14,10,60,2480
183,16,5,63,2558
184,17,11,63,2586
185,15,8,64,2473
186,16,9,62,2445
187,14,10,63,2524
188,13,11,65,2467
189,14,10,68,2597
190,12,11,65,2426
191,13,7,69,2524
192,12,6,68,2562
193,14,10,64,2521
194,16,5,60,2574
195,14,8,60,2510
196,16,10,67,2566
197,16,8,68,2558
198,16,7,69,2537
199,13,5,68,2452
200,13,9,66,2565
201,13,11,61,2464
202,17,6,64,2450
203,17,8,60,2463
204,14,11,67,2469
205,15,5,67,2525
206,15,8,69,2572
207,14,8,60,2480
208,15,5,66,2468
209,16,10,63,2524
210,12,10,64,2455
211,14,10,60,2409
212,15,7,66,2484
213,14,6,67,2482
214,13,10,65,2417
215,14,10,66,2564
216,16,7,68,2585
217,17,11,61,2510
218,13,5,63,2419
219,13,11,60,2460
220,16,7,62,2544
221,15,5,62,2502
222,13,7,67,2432
223,14,5,62,2497
224,14,11,63,2523
225,15,8,63,2550
226,12,5,61,2576
227,14,9,61,2553
228,17,10,68,2431
229,17,5,69,2506
230,15,11,67,2576
231,16,7,63,2441
232,16,10,66,2519
233,16,7,69,2459
234,14,7,60,2516
235,13,9,65,2459
236,17,8,65,2555
237,12,11,66,2445
238,13,9,65,2552
239,15,5,67,2557
240,13,10,64,2455
241,14,11,60,2449
242,16,5,64,2418
243,13,5,63,2519
244,14,11,69,2440
245,16,11,61,2437
246,15,6,64,2556
247,17,10,61,2467
248,16,6,62,2591
249,15,7,62,2596
250,13,7,61,2488
251,12,8,60,2487
252,17,9,68,2541
253,16,10,69,2501
254,12,8,63,2591
255,14,10,61,2521
256,17,6,64,2483
257,15,11,68,2446
258,17,9,62,2510
259,12,8,60,2512
260,14,11,67,2492
261,14,9,62,2418
262,16,5,68,2573
263,14,6,68,2542
264,16,11,64,2577
265,16,11,63,2459
266,15,10,67,2437
267,16,7,66,2490
268,15,5,66,2465
269,14,6,60,2415
270,15,8,68,2441
271,12,9,66,2412
272,17,11,60,2405
273,14,7,63,2420
274,15,10,61,2467
275,17,11,62,2413
276,15,8,61,2525
277,16,5,66,2448
278,15,9,60,2510
279,15,10,63,2516
280,12,10,65,2423
281,13,7,69,2556
282,13,6,69,2477
283,17,8,64,2485
284,17,9,64,2597
285,16,9,63,2528
286,12,9,65,2470
287,16,5,69,2559
288,12,7,65,2536
289,17,5,67,2576
290,17,8,68,2437
291,14,5,64,2553
292,16,7,67,2490
293,14,11,68,2450
294,17,9,65,2439
295,15,11,64,2524
296,16,5,68,2499
297,15,10,69,2479
298,12,7,61,2470
299,16,9,61,2562
300,17,7,68,2508
301,12,10,65,2596
302,15,7,66,2516
303,14,9,64,2409
304,13,8,65,2586
305,13,5,66,2438
306,12,5,62,2512
307,16,10,60,2419
308,13,10,62,2537
