,Temperatura_archa [°C],O2 [%],Humedad [%],Numero_envases [uds],Tiempo_carga [min]
0,643,19,33,100,24
1,634,21,48,100,22
2,611,23,43,100,20
3,565,18,48,100,21
4,620,20,39,100,28
5,558,20,48,100,26
6,621,20,34,100,24
7,562,22,32,100,23
8,580,20,33,100,21
9,585,19,48,100,29
10,580,18,36,100,24
11,615,18,39,100,25
12,583,20,34,100,29
13,602,18,49,100,27
14,566,20,36,100,24
15,582,22,47,100,23
16,624,18,39,100,27
17,552,22,37,100,27
18,580,20,45,100,21
19,567,23,42,100,29
20,643,19,31,100,20
21,592,23,49,100,28
22,607,18,43,100,27
23,575,18,33,100,23
24,634,20,42,100,26
25,588,19,37,100,26
26,630,18,30,100,25
27,610,19,44,100,24
28,575,20,43,100,27
29,600,22,36,100,29
30,572,23,48,100,23
31,612,19,31,100,22
32,564,18,38,100,24
33,649,20,31,100,24
34,587,22,38,100,26
35,614,18,41,100,28
36,618,22,48,100,26
37,567,19,43,100,25
38,559,20,35,100,27
39,630,21,45,100,29
40,615,23,49,100,23
41,622,20,46,100,26
42,589,23,47,100,29
43,574,21,37,100,27
44,592,20,41,100,29
45,630,23,30,100,28
46,596,22,40,100,27
47,592,23,38,100,23
48,582,22,45,100,23
49,603,23,45,100,25
50,619,21,46,100,29
51,613,21,43,100,27
52,573,18,46,100,23
53,611,23,39,100,23
54,578,21,34,100,29
55,637,20,37,100,22
56,552,22,49,100,25
57,639,23,47,100,27
58,607,23,34,100,25
59,646,23,45,100,28
60,559,19,44,100,24
61,618,21,35,100,25
62,614,20,34,100,25
63,551,20,43,100,20
64,621,20,35,100,28
65,572,19,37,100,24
66,629,22,40,100,26
67,578,21,38,100,26
68,588,23,47,100,21
69,563,18,35,100,20
70,584,18,37,100,26
71,599,23,41,100,25
72,622,20,43,100,20
73,618,21,47,100,25
74,614,18,30,100,25
75,627,21,41,100,20
76,585,19,40,100,20
77,638,18,33,100,24
78,626,23,37,100,22
79,605,23,34,100,26
80,566,19,30,100,24
81,621,18,41,100,28
82,637,23,38,100,24
83,582,22,39,100,23
84,622,20,40,100,29
85,605,19,47,100,25
86,645,22,33,100,28
87,607,21,44,100,22
88,629,18,30,100,27
89,613,22,43,100,20
90,646,22,47,100,22
91,626,18,49,100,27
92,550,20,45,100,26
93,626,19,35,100,26
94,625,22,37,100,28
95,611,23,41,100,21
96,586,19,47,100,22
97,615,21,43,100,28
98,622,20,42,100,21
99,562,18,36,100,27
100,610,18,32,100,28
101,602,22,43,100,29
102,576,21,43,100,24
103,609,20,47,100,26
104,627,23,36,100,21
105,580,19,42,100,24
106,577,19,42,100,25
107,638,20,45,100,25
108,643,23,41,100,24
109,632,20,32,100,23
110,622,22,30,100,27
111,573,18,38,100,20
112,568,19,35,100,25
113,632,18,49,100,23
114,570,20,43,100,27
115,629,19,40,100,20
116,558,18,32,100,26
117,604,18,41,100,24
118,610,18,49,100,27
