,Temperatura_horno [°C],Peso_total_fusion [T],Energia [kWh],Tiempo_total_fusion [h],Consumo_combustible [kWh]
0,1545,35,7635,41,381
1,1581,34,7659,46,396
2,1584,35,7645,43,395
3,1554,32,7647,26,388
4,1591,32,7683,45,389
5,1568,33,7551,40,388
6,1566,35,7698,25,380
7,1536,35,7507,46,385
8,1538,34,7525,47,396
9,1519,34,7627,27,396
10,1590,34,7556,24,392
11,1520,32,7586,45,389
12,1548,35,7532,29,398
13,1532,35,7516,38,387
14,1512,34,7568,40,399
15,1524,34,7632,45,390
16,1501,32,7650,27,383
17,1539,34,7598,43,397
18,1541,35,7656,43,381
19,1591,33,7532,44,394
20,1504,35,7685,46,389
21,1527,33,7523,26,380
22,1580,33,7615,47,391
23,1522,32,7580,37,391
24,1546,35,7508,39,398
25,1595,35,7588,44,392
26,1552,34,7599,36,386
27,1540,34,7663,44,382
28,1519,32,7584,39,381
29,1555,35,7533,31,382
30,1556,35,7625,46,389
31,1527,33,7633,26,395
32,1570,35,7674,24,384
33,1502,34,7637,37,399
34,1541,32,7660,27,390
35,1547,34,7617,31,389
36,1519,35,7678,27,397
37,1526,33,7554,25,396
38,1501,32,7639,28,396
39,1501,33,7634,46,391
40,1576,34,7677,31,399
41,1546,34,7582,35,391
42,1523,32,7594,40,393
43,1598,32,7595,33,394
44,1522,32,7544,40,385
45,1587,32,7685,25,394
46,1550,32,7515,43,383
47,1536,32,7521,40,396
48,1598,34,7649,42,381
49,1599,33,7584,41,389
50,1501,35,7583,40,387
51,1501,34,7602,46,399
52,1549,35,7638,45,392
53,1512,33,7640,28,380
54,1516,32,7568,32,390
55,1514,35,7672,25,381
56,1556,34,7650,42,395
57,1538,32,7584,40,390
58,1535,34,7646,28,392
59,1545,34,7644,39,394
60,1596,32,7651,37,393
61,1557,33,7632,26,384
62,1570,34,7585,45,386
63,1561,32,7651,41,387
64,1578,33,7610,30,389
65,1540,32,7511,38,394
66,1543,34,7503,46,393
67,1583,32,7656,47,396
68,1539,32,7611,33,381
69,1540,33,7629,29,388
70,1521,34,7652,41,397
71,1521,34,7544,28,399
72,1510,32,7512,47,389
73,1520,32,7676,38,390
74,1583,32,7613,43,395
75,1529,34,7657,45,386
76,1591,35,7610,35,386
77,1565,35,7630,38,398
78,1509,32,7683,28,387
79,1567,33,7591,35,390
80,1597,34,7539,31,399
81,1568,35,7530,30,398
82,1503,32,7650,31,393
83,1508,33,7536,38,389
84,1523,35,7608,46,381
85,1551,33,7562,36,386
86,1571,35,7662,38,392
87,1557,35,7624,36,389
88,1566,34,7587,32,399
89,1570,35,7546,28,385
90,1511,32,7650,41,394
91,1549,34,7568,36,381
92,1575,35,7699,33,387
93,1544,33,7558,29,380
94,1543,32,7651,24,397
95,1556,32,7570,30,390
96,1506,34,7535,45,380
97,1531,35,7652,43,381
98,1588,35,7531,33,386
99,1519,34,7691,42,398
100,1522,34,7661,40,395
101,1558,33,7612,26,392
102,1557,35,7617,35,397
103,1527,34,7525,37,398
104,1565,32,7556,47,381
105,1511,34,7569,46,393
106,1559,34,7691,43,399
107,1567,33,7659,28,388
108,1544,32,7675,37,383
109,1585,35,7554,31,380
110,1548,32,7569,24,397
111,1541,35,7518,27,395
112,1522,32,7509,44,380
113,1579,34,7655,43,386
114,1505,34,7515,41,388
115,1548,32,7644,33,390
116,1518,34,7661,40,384
117,1590,32,7608,35,388
118,1532,33,7656,31,395
119,1513,33,7597,45,386
120,1577,34,7596,24,390
121,1579,35,7533,36,399
122,1512,33,7574,28,392
123,1503,33,7640,33,396
124,1576,32,7688,44,386
125,1549,35,7643,28,395
126,1546,32,7581,28,380
127,1535,35,7648,30,397
128,1571,32,7549,43,380
129,1547,33,7554,27,393
130,1540,32,7518,37,393
131,1578,34,7534,35,386
132,1588,32,7561,37,385
133,1544,34,7525,41,383
134,1549,32,7639,28,398
135,1573,32,7684,30,396
136,1501,35,7654,42,380
137,1566,35,7544,37,397
138,1538,34,7679,47,387
139,1546,32,7678,36,384
140,1523,33,7534,44,382
141,1575,35,7501,37,382
142,1559,34,7583,45,390
143,1543,35,7553,29,381
144,1528,34,7630,44,390
145,1557,32,7520,28,382
146,1512,34,7662,34,381
147,1533,32,7634,24,394
148,1544,34,7554,37,396
149,1539,35,7503,35,390
150,1540,33,7573,29,398
151,1590,34,7676,36,396
152,1579,32,7683,47,386
153,1530,34,7507,33,381
154,1508,32,7668,28,393
155,1583,34,7548,35,385
156,1580,33,7597,27,392
157,1508,34,7520,32,385
158,1503,32,7503,30,386
159,1523,33,7672,37,394
160,1583,35,7676,33,397
161,1544,33,7690,37,394
162,1587,35,7663,29,398
163,1572,35,7513,44,390
164,1574,32,7510,32,394
165,1526,35,7651,29,398
166,1511,35,7555,26,380
167,1510,35,7641,31,391
168,1560,32,7620,47,383
169,1577,35,7516,30,390
170,1572,33,7678,37,381
171,1566,32,7508,46,382
172,1589,34,7524,47,384
173,1512,33,7576,41,387
174,1574,35,7698,40,393
175,1568,35,7606,40,389
176,1598,34,7574,41,386
177,1541,35,7564,33,393
178,1509,33,7636,43,389
179,1548,33,7620,37,394
180,1592,35,7595,29,398
181,1529,34,7509,39,385
182,1518,32,7552,45,394
183,1539,34,7508,44,396
184,1543,35,7623,30,395
185,1599,33,7500,46,384
186,1523,34,7631,43,399
187,1510,33,7585,32,384
188,1503,34,7559,40,392
189,1518,32,7518,40,390
190,1504,35,7679,28,394
191,1526,34,7590,28,387
192,1574,32,7531,33,391
193,1527,35,7554,45,394
194,1513,34,7579,28,388
195,1504,32,7579,27,394
196,1592,33,7559,39,386
197,1525,34,7581,39,386
198,1544,35,7567,46,382
199,1561,35,7687,29,381
200,1580,32,7595,28,380
201,1597,32,7621,43,386
202,1535,35,7651,46,389
203,1527,35,7557,44,399
204,1526,34,7602,47,398
205,1544,34,7575,39,390
206,1510,33,7511,32,395
207,1586,35,7600,40,395
208,1520,35,7530,35,386
209,1546,32,7543,46,386
210,1564,32,7590,32,398
211,1586,34,7638,40,396
212,1581,33,7537,47,385
213,1578,32,7586,39,380
214,1562,34,7526,35,398
215,1554,33,7516,46,380
216,1567,33,7624,33,380
217,1589,34,7648,39,396
218,1502,35,7591,29,395
219,1557,35,7619,28,391
220,1561,33,7633,45,385
221,1587,32,7642,24,382
222,1586,35,7656,47,385
223,1536,35,7501,44,394
224,1552,33,7571,34,384
225,1576,35,7694,39,381
226,1596,33,7670,38,395
227,1527,35,7639,30,395
228,1519,33,7699,34,397
229,1587,34,7619,36,388
230,1589,34,7680,28,395
231,1544,33,7549,37,399
232,1584,35,7602,33,386
233,1512,33,7661,42,393
234,1534,32,7677,46,398
235,1513,33,7693,40,386
236,1572,32,7621,30,389
237,1547,33,7678,31,384
238,1500,34,7682,26,392
239,1556,34,7594,44,385
240,1533,34,7525,41,391
241,1591,35,7688,30,382
242,1555,35,7675,25,392
243,1530,34,7596,45,388
244,1519,35,7643,29,388
245,1572,33,7568,43,386
246,1598,35,7603,30,389
247,1561,35,7555,43,395
248,1590,35,7510,33,393
249,1551,34,7653,44,384
250,1504,35,7612,40,388
